"filename", "language", "SCSS", "TypeScript React", "TypeScript", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Card2\index.tsx", "TypeScript React", 0, 36, 0, 0, 0, 0, 0, 5, 41
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Card3\index.tsx", "TypeScript React", 0, 38, 0, 0, 0, 0, 0, 7, 45
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Card4\index.tsx", "TypeScript React", 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Card5\index.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Card6\index.tsx", "TypeScript React", 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Checkbox\index.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\CustomArrow\index.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 1, 4, 25
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Footer\index.tsx", "TypeScript React", 0, 89, 0, 0, 0, 0, 0, 10, 99
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Form\index.tsx", "TypeScript React", 0, 91, 0, 0, 0, 0, 0, 15, 106
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Header\index.tsx", "TypeScript React", 0, 127, 0, 0, 0, 0, 0, 12, 139
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Header\submenu.tsx", "TypeScript React", 0, 106, 0, 0, 0, 0, 0, 10, 116
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Input1\index.tsx", "TypeScript React", 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\InputDate\index.tsx", "TypeScript React", 0, 51, 0, 0, 0, 0, 0, 8, 59
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\InputDouble\index.tsx", "TypeScript React", 0, 35, 0, 0, 0, 0, 0, 8, 43
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\InputPeople\index.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\InputPeople\options.tsx", "TypeScript React", 0, 87, 0, 0, 0, 0, 0, 7, 94
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Input\index.tsx", "TypeScript React", 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Layout\layout.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\NewsLetter\index.tsx", "TypeScript React", 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Path\index.tsx", "TypeScript React", 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Popup\index.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\Radio\index.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\components\ResultCard\index.tsx", "TypeScript React", 0, 76, 0, 0, 0, 0, 0, 12, 88
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\declarations.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 6, 3, 13
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\404.tsx", "TypeScript React", 0, 51, 0, 0, 0, 0, 0, 10, 61
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\cities\karpacz.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\cities\krakow.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\cities\poznan.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\cities\warszawa.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\cities\wroclaw.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\contact\Polska.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\contact\brazylia.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\contact\travelTalk.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\contact\wiecej.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\discover\gdansk.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\discover\krakow.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\discover\mazury.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
